source_id,node_id,title,author_or_org,source_type,published_or_formed_date,url,accessed_date,reliability,rights_status,claim_supported,notes
hist-001,node-01,中央红军长征开始,中国共产党新闻网,official-web,2016-08-14,https://cpc.people.com.cn/BIG5/33837/2534266.html,2026-09-01,high,citation-only,中央红军从瑞金出发,主线起点需与于都夜渡分层
hist-002,node-01,为什么30万人能保守一个秘密,人民网党史,official-web,2016-10-09,https://dangshi.people.com.cn/n1/2016/1009/c85037-28763061.html,2026-09-01,high,citation-only,出发前保密与集结,用于教育问题不直接替代档案
hist-003,node-02,湘江战役：中央红军长征的悲壮史诗,人民网党史,official-web,2016-02-29,https://dangshi.people.com.cn/n1/2016/0229/c85037-28159039.html,2026-09-01,high,citation-only,湘江战役时间地点与影响,需交叉核验数字
hist-004,node-02,湘江之战和突破乌江天险,人民网党史,official-web,2016-10-10,https://dangshi.people.com.cn/n1/2016/1010/c85037-28763952.html,2026-09-01,high,citation-only,湘江至乌江阶段,不消费伤亡数字
hist-005,node-03,通道会议：伟大转折的起点,中国共产党新闻网,official-web,2024-12-08,https://cpc.people.com.cn/n1/2024/1208/c443712-40377631.html,2026-09-01,high,citation-only,通道会议与转兵贵州,与黎平猴场合并呈现
hist-006,node-03,猴场会议：伟大转折的前夜,中国共产党新闻网,official-web,2025-01-11,https://cpc.people.com.cn/n1/2025/0111/c443712-40399843.html,2026-09-01,high,citation-only,猴场会议,与hist-020共同覆盖黎平会议链
hist-007,node-04,遵义1935：早到的春天,中国共产党新闻网,official-web,2025-01-15,https://cpc.people.com.cn/n1/2025/0115/c443712-40402123.html,2026-09-01,high,citation-only,遵义会议日期与意义,与正式党史著作交叉核验
hist-008,node-04,遵义会议,中国共产党新闻网,official-web,,https://cpc.people.com.cn/GB/33837/2534276.html,2026-09-01,high,citation-only,遵义会议基本事实,页面编码需人工保存引用
hist-009,node-05,1935年红军四渡赤水转战川南,人民网党史,official-web,2015-02-12,https://dangshi.people.com.cn/n/2015/0212/c85037-26555356.html,2026-09-01,high,citation-only,四渡赤水时间与区域,页面偶发抓取失败需人工下载书目
hist-010,node-05,四渡赤水战役：中央红军战略转移的决定性胜利,人民网党史,official-web,2016-10-08,https://dangshi.people.com.cn/n1/2016/1008/c85037-28758648.html,2026-09-01,high,citation-only,四渡赤水历史解释,解释标签不得写成唯一事实
